sensor.thuis_outdoor_temperature | Buitentemperatuur |  | tado | 
sensor.thuis_solar_percentage | Zonne-energie percentage |  | tado | 
sensor.thuis_weather_condition | Weersomstandigheden |  | tado | 
sensor.slaapkamer_temperature | Temperatuur |  | tado | 
sensor.slaapkamer_humidity | Luchtvochtigheid |  | tado | 
sensor.slaapkamer_tado_mode | Tado mode |  | tado | 
sensor.slaapkamer_heating | Verwarmen |  | tado | 
climate.slaapkamer |  |  | tado | 
automation.tadoopauto | TadoOpAuto |  | automation | 
select.tado_smart_thermostat_su1928086784_temperature_display_units | tado Smart Thermostat SU1928086784 Temperature Display Units |  | homekit_controller | 
sensor.thuis_tado_mode | Tado mode |  | tado | 
sensor.thuis_geo_fencing_mode | Geo-fencing mode |  | tado | 
sensor.thuis_automatisch_geo_fencing | Automatisch geo-fencing |  | tado | 
sensor.visonic_codesecure_b2be9b_32_sensor_status | Sensorstatus |  | rfxtrx | 
sensor.visonic_codesecure_b2be9b_32_signaalsterkte | Signaalsterkte |  | rfxtrx | 
sensor.visonic_codesecure_b2be9b_32_batterij | Batterij |  | rfxtrx | 
climate.tado_smart_radiator_thermostat_va0474562048 | tado Smart Radiator Thermostat VA0474562048 |  | homekit_controller | 
button.tado_smart_radiator_thermostat_va0474562048_identify | tado Smart Radiator Thermostat VA0474562048 Identify |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va0474562048_current_temperature | tado Smart Radiator Thermostat VA0474562048 Current Temperature |  | homekit_controller | 
select.tado_smart_radiator_thermostat_va0474562048_temperature_display_units | tado Smart Radiator Thermostat VA0474562048 Temperature Display Units |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va0474562048_current_humidity | tado Smart Radiator Thermostat VA0474562048 Current Humidity |  | homekit_controller | 
climate.tado_smart_radiator_thermostat_va0893861376 | tado Smart Radiator Thermostat VA0893861376 |  | homekit_controller | 
button.tado_smart_radiator_thermostat_va0893861376_identify | tado Smart Radiator Thermostat VA0893861376 Identify |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va0893861376_current_temperature | tado Smart Radiator Thermostat VA0893861376 Current Temperature |  | homekit_controller | 
select.tado_smart_radiator_thermostat_va0893861376_temperature_display_units | tado Smart Radiator Thermostat VA0893861376 Temperature Display Units |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va0893861376_current_humidity | tado Smart Radiator Thermostat VA0893861376 Current Humidity |  | homekit_controller | 
sensor.thc238_268_thn132_thwr288_thrn122_thn122_aw129_131_89_02_temperatuur | Temperatuur |  | rfxtrx | 
sensor.thc238_268_thn132_thwr288_thrn122_thn122_aw129_131_89_02_batterij | Batterij |  | rfxtrx | 
sensor.thc238_268_thn132_thwr288_thrn122_thn122_aw129_131_89_02_signaalsterkte | Signaalsterkte |  | rfxtrx | 
binary_sensor.va0474562048_batterij | Batterij |  | tado | 
binary_sensor.va0474562048_connectiestatus | Connectiestatus |  | tado | 
binary_sensor.va0893861376_batterij | Batterij |  | tado | 
binary_sensor.va0893861376_connectiestatus | Connectiestatus |  | tado | 
binary_sensor.bureau_friede_vermogen | Vermogen |  | tado | 
binary_sensor.bureau_friede_connectiviteit | Connectiviteit |  | tado | 
binary_sensor.bureau_friede_overlay | Overlay |  | tado | 
binary_sensor.bureau_friede_raam | Raam |  | tado | 
binary_sensor.bureau_friede_vroege_start | Vroege start |  | tado | 
binary_sensor.bureau_pieter_vermogen | Vermogen |  | tado | 
binary_sensor.bureau_pieter_connectiviteit | Connectiviteit |  | tado | 
binary_sensor.bureau_pieter_overlay | Overlay |  | tado | 
binary_sensor.bureau_pieter_raam | Raam |  | tado | 
binary_sensor.bureau_pieter_vroege_start | Vroege start |  | tado | 
sensor.bureau_friede_temperatuur | Temperatuur |  | tado | 
sensor.bureau_friede_luchtvochtigheid | Luchtvochtigheid |  | tado | 
sensor.bureau_friede_tado_mode | Tado mode |  | tado | 
sensor.bureau_friede_verwarmen | Verwarmen |  | tado | 
sensor.bureau_pieter_temperatuur | Temperatuur |  | tado | 
sensor.bureau_pieter_luchtvochtigheid | Luchtvochtigheid |  | tado | 
sensor.bureau_pieter_tado_mode | Tado mode |  | tado | 
sensor.bureau_pieter_verwarmen | Verwarmen |  | tado | 
climate.bureau_friede |  |  | tado | 
climate.bureau_pieter |  |  | tado | 
sensor.visonic_codesecure_ca74d8_32_signaalsterkte | Signaalsterkte |  | rfxtrx | 
sensor.visonic_codesecure_ca74d8_32_batterij | Batterij |  | rfxtrx | 
sensor.visonic_codesecure_ca74d8_32_sensor_status | Sensorstatus |  | rfxtrx | 
climate.tado_smart_radiator_thermostat_va1008294400 | tado Smart Radiator Thermostat VA1008294400 |  | homekit_controller | 
button.tado_smart_radiator_thermostat_va1008294400_identify | tado Smart Radiator Thermostat VA1008294400 Identify |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va1008294400_current_temperature | tado Smart Radiator Thermostat VA1008294400 Current Temperature |  | homekit_controller | 
select.tado_smart_radiator_thermostat_va1008294400_temperature_display_units | tado Smart Radiator Thermostat VA1008294400 Temperature Display Units |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va1008294400_current_humidity | tado Smart Radiator Thermostat VA1008294400 Current Humidity |  | homekit_controller | 
climate.tado_smart_radiator_thermostat_va0335567360 | tado Smart Radiator Thermostat VA0335567360 |  | homekit_controller | 
button.tado_smart_radiator_thermostat_va0335567360_identify | tado Smart Radiator Thermostat VA0335567360 Identify |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va0335567360_current_temperature | tado Smart Radiator Thermostat VA0335567360 Current Temperature |  | homekit_controller | 
select.tado_smart_radiator_thermostat_va0335567360_temperature_display_units | tado Smart Radiator Thermostat VA0335567360 Temperature Display Units |  | homekit_controller | 
sensor.tado_smart_radiator_thermostat_va0335567360_current_humidity | tado Smart Radiator Thermostat VA0335567360 Current Humidity |  | homekit_controller | 
climate.tado_smart_radiator_thermostat_va1863932416 | tado Smart Radiator Thermostat VA1863932416 |  | homekit_controller | 
